Region,Name
Республика Адыгея,adygeya
Республика Алтай,altay
Республика Башкортостан,bashkortostan
Республика Бурятия,buryatiya
Республика Дагестан,dagestan
Республика Ингушетия,ingushetiya
Кабардино-Балкарская Республика,kabardino-balkariya
Республика Калмыкия,kalmykiya
Карачаево-Черкесская Республика,karachaevo-cherkesiya
Республика Карелия,kareliya
Республика Коми,komi
Республика Крым,krym
Республика Марий Эл,mariy_el
Республика Мордовия,mordoviya
Республика Саха,saha_yakutiya
Республика Северная Осетия,severnaya_osetiya
Республика Татарстан,tatarstan
Республика Тыва,tyva
Удмуртская Республика,udmurtiya
Республика Хакасия,hakasiya
Чеченская Республика,chechenskaya_respublika
Чувашская Республика,chuvashskiya
Алтайский край,altayskiy_kray
Забайкальский край,zabaykalskiy_kray
Камчатский край,kamchatskiy_kray
Краснодарский край,krasnodarskiy_kray
Красноярский край,krasnoyarskiy_kray
Пермский край,permskiy_kray
Приморский край,primorskiy_kray
Ставропольский край,stavropolskiy_kray
Хабаровский край,habarovskiy_kray
Амурская область,amurskaya_oblast
Архангельская область,arhangelskaya_oblast
Астраханская область,astrahanskaya_oblast
Белгородская область,belgorodskaya_oblast
Брянская область,bryanskaya_oblast
Владимирская область,vladimirskaya_oblast
Волгоградская область,volgogradskaya_oblast
Вологодская область,vologodskaya_oblast
Воронежская область,voronezhskaya_oblast
Ивановская область,ivanovskaya_oblast
Иркутская область,irkutskaya_oblast
Калининградская область,kaliningradskaya_oblast
Калужская область,kaluzhskaya_oblast
Кемеровская область,kemerovskaya_oblast
Кировская область,kirovskaya_oblast
Костромская область,kostromskaya_oblast
Курганская область,kurganskaya_oblast
Курская область,kurskaya_oblast
Ленинградская область,leningradskaya_oblast
Липецкая область,lipetskaya_oblast
Магаданская область,magadanskaya_oblast
Московская область,moskovskaya_oblast
Мурманская область,murmanskaya_oblast
Нижегородская область,nizhegorodskaya_oblast
Новгородская область,novgorodskaya_oblast
Новосибирская область,novosibirskaya_oblast
Омская область,omskaya_oblast
Оренбургская область,orenburgskaya_oblast
Орловская область,orlovskaya_oblast
Пензенская область,penzenskaya_oblast
Псковская область,pskovskaya_oblast
Ростовская область,rostovskaya_oblast
Рязанская область,ryazanskaya_oblast
Самарская область,samarskaya_oblast
Саратовская область,saratovskaya_oblast
Сахалинская область,sahalinskaya_oblast
Свердловская область,sverdlovskaya_oblast
Смоленская область,smolenskaya_oblast
Тамбовская область,tambovskaya_oblast
Тверская область,tverskaya_oblast
Томская область,tomskaya_oblast
Тульская область,tulskaya_oblast
Тюменская область,tyumenskaya_oblast
Ульяновская область,ulyanovskaya_oblast
Челябинская область,chelyabinskaya_oblast
Ярославская область,yaroslavskaya_oblast
Город Москва,moskva
Город Санкт-Петербург,sankt-peterburg
Город Севастополь,sevastopol
Еврейская автономная область,evreyskaya_ao
Ненецкий автономный округ,nenetskiy_ao
Ханты-Мансийский автономный округ,hanty-mansiyskiy_ao
Чукотский автономный округ,chukotskiy_ao
Ямало-Ненецкий автономный округ,yamalo-nenetskiy_ao
